WKT,WKT,City,Category,Initiative,Location,Building,URL_1,Info,Describe
POINT (-12476334.0 3955062.8),POINT (-12476334.0 3955062.8),Phoenix,Transportation,Bike share,"Orpheum Theatre, 203, West Adams Street, Phoenix, Arizona 85003",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12475707.0 3954527.8),POINT (-12475707.0 3954527.8),Phoenix,Transportation,Bike share,"200 East Jackson Street, Phoenix AZ 85004",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12475957 3954832),POINT (-12475957 3954832),Phoenix,Transportation,Bike share,"2 East Jefferson Street, Phoenix AZ 85004",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12475718.0 3955096.8),POINT (-12475718.0 3955096.8),Phoenix,Transportation,Bike share,"181-199 East Adams Street, Phoenix AZ 85004",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12475059 3955204),POINT (-12475059 3955204),Phoenix,Transportation,Bike share,"115 North 6th Street, Phoenix AZ 85004",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12474350.0 3954964.8),POINT (-12474350.0 3954964.8),Phoenix,Transportation,Bike share,"1010-1098 East Washington Street, Phoenix AZ 85034",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12474048.0 3958258.5),POINT (-12474048.0 3958258.5),Phoenix,Transportation,Bike share,"1200 East Oak Street, Phoenix AZ 85006",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12474905.0 3958493.5),POINT (-12474905.0 3958493.5),Phoenix,Transportation,Bike share,"East Sheridan Street, Encanto, Phoenix, Arizona  85006",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12477052.0 3961436.8),POINT (-12477052.0 3961436.8),Phoenix,Transportation,Bike share,"4201, North 7th Avenue, Encanto, Phoenix, Arizona 85013",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12476599.0 3960673.8),POINT (-12476599.0 3960673.8),Phoenix,Transportation,Bike share,"401 West Clarendon Avenue, Phoenix AZ 85013",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12477771.0 3958051.8),POINT (-12477771.0 3958051.8),Phoenix,Transportation,Bike share,"West Holly Street, Encanto, Phoenix, Arizona",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12476721 3957294),POINT (-12476721 3957294),Phoenix,Transportation,Bike share,"1500-1598 North 5th Avenue, Phoenix AZ 85003",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12477706 3956109),POINT (-12477706 3956109),Phoenix,Transportation,Bike share,"Grand Avenue, Phoenix, Arizona 85007",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12476721.0 3957295.5),POINT (-12476721.0 3957295.5),Phoenix,Transportation,Bike share,"1500-1598 North 5th Avenue, Phoenix AZ 85003",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12476742.0 3955828.2),POINT (-12476742.0 3955828.2),Phoenix,Transportation,Bike share,"604, North 5th Avenue, Phoenix, Arizona 85003",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12477173.0 3954070.2),POINT (-12477173.0 3954070.2),Phoenix,Transportation,Bike share,"739 West Lincoln Street, Phoenix AZ 85007",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12475290.0 3953976.8),POINT (-12475290.0 3953976.8),Phoenix,Transportation,Bike share,"East Grant Street, Central City, Phoenix, Arizona 85004",Bike share hub location,http://gridbikes.com/,Rent or return bikes,Rent a bike and ride
POINT (-12450993.0 3947115.8),POINT (-12450993.0 3947115.8),Mesa,Waste Recycling,Biofuel,"Fire Station 204 1426 South Extension Road Mesa, AZ 85210",Fire Station No. 204,http://apps.mesaaz.gov/news/ArticleView.aspx?id=44736,Used cooking oil recycling,Fryer oil collection location
POINT (-12438494.0 3948783.2),POINT (-12438494.0 3948783.2),Mesa,Waste Recycling,Biofuel,"Fire Station 205 730 S Greenfield Rd Mesa, AZ 85206",Fire Station No. 205,http://apps.mesaaz.gov/news/ArticleView.aspx?id=44736,Used cooking oil recycling,Fryer oil collection location
POINT (-12427666.0 3944724.5),POINT (-12427666.0 3944724.5),Mesa,Waste Recycling,Biofuel,"Fire Station 212 2430 S Ellsworth Rd Mesa, AZ 85209",Fire Station No. 212,http://apps.mesaaz.gov/news/ArticleView.aspx?id=44736,Used cooking oil recycling,Fryer oil collection location
POINT (-12434588.0 3958820.5),POINT (-12434588.0 3958820.5),Mesa,Waste Recycling,Biofuel,"Fire Station 214 5950 E Virginia St. Mesa, AZ 85215",Fire Station 214,http://apps.mesaaz.gov/news/ArticleView.aspx?id=44736,Used cooking oil recycling,Fry oil collection location
POINT (-12458696 3951455),POINT (-12458696 3951455),Tempe,Waste Recycling,Biofuel,1320 E University Dr. Tempe  AZ 85281,Fryer oil collection location,http://www.tempe.gov/city-hall/public-works/household-products-collection-center-hpcc-/don-t-trash-it-,Used cooking oil recycling,Used fryer oil can be brought here for recycling into biofuel
POINT (-12448370.0 3950300.2),POINT (-12448370.0 3950300.2),Mesa,Urban Farm/Forestry,Urban Garden,212 E 1st Ave  Mesa  AZ 85210,Urban garden,http://www.mesaurbangarden.com/,Urban garden in the downtown,"Gardening, chickens, artwork, and community"
POINT (-12458085.0 3954782.8),POINT (-12458085.0 3954782.8),Tempe,Urban Farm/Forestry,Urban Garden,"Rio Salado Golf Course, 1490 E Weber Dr. Tempe, AZ 85281",Urban Farm,http://www.tempe.gov/city-hall/public-works/sustainable-tempe/tempe-s-urban-farm,Rejuvinating land,Old golf course turned into an urban farm by Ken Singh
POINT (-12448384.0 3950253.2),POINT (-12448384.0 3950253.2),Mesa,Infrastructure,Green Infrastructure,Main St. Downtown Mesa,Low Impact Development Demo Site,http://wateruseitwisely.com/cutting-curb-beneficial-use-stormwater/,Green Infrastructure,Low impact development demonstration site created to investigate potential benefits.
POINT (-12463033.0 3952899.2),POINT (-12463033.0 3952899.2),Tempe,Waste Recycling,Compost,N. Rio Rd. Tempe AZ,City composting,http://www.tempe.gov/city-hall/public-works/recycling-and-solid-waste/green-organics,Waste recycling,City of Tempe compost site for residential green waste
POINT (-12476065 3955598),POINT (-12476065 3955598),Phoenix,Infrastructure,Green Infrastructure,Civic Space Park,Park,https://www.phoenix.gov/parks/parks/alphabetical/c-parks/civic-space,"Solar panels, trees, pervious surfaces",This city park utilizes green infrastructure to create a recreational spot in the city wrapped in sustainability
POINT (-12433262.0 3946792.2),POINT (-12433262.0 3946792.2),Mesa,Infrastructure,Green Building,"6555 E Southern Ave, Mesa, AZ",Superstition Springs Transit Center,http://www.valleymetro.org/images/uploads/sstc_entry_board.pdf,Rainwater harvesting,Green roof captures and guides rain water to plants below
